Version,Date_of_report,Date_measurement,RWZI_AWZI_code,RWZI_AWZI_name,RNA_flow_per_100000
2,2021-11-24,2020-07-07,25020,Kaatsheuvel,0.0
2,2021-11-24,2020-07-07,25027,Lage Zwaluwe,0.0
2,2021-11-24,2020-07-07,29003,Land Van Cuijk,0.0
2,2021-11-24,2020-07-07,13033,Leiden Zuid-West,0.0
2,2021-11-24,2020-07-07,10009,Utrecht,2759185624807.0
2,2021-11-24,2020-07-07,21001,Walcheren,0.0
2,2021-11-24,2020-07-07,4026,Zwolle,0.0
2,2021-11-24,2020-07-08,27008,S Hertogenbosch,5818656919724.0
2,2021-11-24,2020-07-08,28005,Dinther,4100340287264.0
2,2021-11-24,2020-07-08,7022,Etten,0.0
2,2021-11-24,2020-07-08,1033,Garmerwolde,0.0
2,2021-11-24,2020-07-08,13030,Leimuiden,0.0
2,2021-11-24,2020-07-08,6004,Lelystad,0.0
2,2021-11-24,2020-07-08,30007,Bosscherveld,0.0
2,2021-11-24,2020-07-08,4027,Tollebeek,0.0
2,2021-11-24,2020-07-08,30020,Venray,0.0
2,2021-11-24,2020-07-09,3010,Assen,0.0
2,2021-11-24,2020-07-09,12022,Beverwijk,0.0
2,2021-11-24,2020-07-09,1008,Stadskanaal,0.0
2,2021-11-24,2020-07-10,9016,Arnhem,0.0
2,2021-11-24,2020-07-11,13010,Haarlem Waarderpolder,0.0
2,2021-11-24,2020-07-12,10027,Amersfoort,0.0
2,2021-11-24,2020-07-12,2032,Harlingen,0.0
2,2021-11-24,2020-07-12,2011,Leeuwarden,0.0
2,2021-11-24,2020-07-12,4027,Tollebeek,0.0
2,2021-11-24,2020-07-13,1033,Garmerwolde,1824296541363.0
