,time,"('susceptible', 'All')",susceptible,"('exposed', 'All')",exposed,"('infected (active)', 'All')",infected (active),"('infected (total)', 'All')",infected (total),"('removed', 'All')",removed,"('hospitalized (active)', 'All')",hospitalized (active),"('in ICU', 'All')",in ICU,"('deaths', 'All')",deaths
69,69.0,15816865.73356017,15816865.73356017,36985.98029967511,36985.98029967511,90683.12414229703,90683.12414229703,1146592.0492887916,1146592.0492887916,1055465.1619978591,1055465.1619978591,,,3255.5126541139616,3255.5126541139616,72552.17008661776,72552.17008661776
70,70.0,15804858.81995147,15804858.81995147,36710.185087128455,36710.185087128455,90055.87665726633,90055.87665726633,1158874.7435199255,1158874.7435199255,1068375.1183041357,1068375.1183041357,,,3235.875711866213,3235.875711866213,73998.95563326776,73998.95563326776
71,71.0,15792944.416041827,15792944.416041827,36433.89596871004,36433.89596871004,89426.38250014282,89426.38250014282,1171065.4236958986,1171065.4236958986,1081195.3054893198,1081195.3054893198,,,3216.101160494255,3216.101160494255,75437.66062361136,75437.66062361136
72,72.0,15781122.613920681,15781122.613920681,36157.175107184186,36157.175107184186,88794.7972417765,88794.7972417765,1183163.935541881,1183163.935541881,1093925.413730358,1093925.413730358,,,3196.194606764548,3196.194606764548,76868.2114047611,76868.2114047611
73,73.0,15769393.485916374,15769393.485916374,35880.0838422037,35880.0838422037,88161.27492154729,88161.27492154729,1195170.145366779,1195170.145366779,1106565.1553198753,1106565.1553198753,,,3176.161632912006,3176.161632912006,78290.53680465932,78290.53680465932
74,74.0,15757757.0848898,15757757.0848898,35602.68267380946,35602.68267380946,87525.9679929152,87525.9679929152,1207083.9397861145,1207083.9397861145,1119114.2644434767,1119114.2644434767,,,3156.0077939845487,3156.0077939845487,79704.56812840755,79704.56812840755
75,75.0,15746213.444532415,15746213.444532415,35325.03124690336,35325.03124690336,86889.02727124849,86889.02727124849,1218905.2254395667,1218905.2254395667,1131572.4969494338,1131572.4969494338,,,3135.7386152564604,3135.7386152564604,81110.23915325757,81110.23915325757
76,76.0,15734762.579668306,15734762.579668306,35047.18833668514,35047.18833668514,86250.60188392774,86250.60188392774,1230633.928703498,1230633.928703498,1143939.6301110813,1143939.6301110813,,,3115.359589711757,3115.359589711757,82507.48612229296,82507.48612229296
77,77.0,15723404.486559989,15723404.486559989,34769.21183504276,34769.21183504276,85610.8392227204,85610.8392227204,1242269.9953987862,1242269.9953987862,1156215.4623822463,1156215.4623822463,,,3094.876175598609,3094.876175598609,83896.24773683058,83896.24773683058
78,78.0,15712139.143217659,15712139.143217659,34491.15873788489,34491.15873788489,84969.88489841814,84969.88489841814,1253813.3904942742,1253813.3904942742,1168399.813146036,1168399.813146036,,,3074.2937940557663,3074.2937940557663,85276.46514757132,85276.46514757132
79,79.0,15700966.50971156,15700966.50971156,34213.085133403496,34213.085133403496,84327.88269772631,84327.88269772631,1265264.0978061557,1265264.0978061557,1180492.5224573077,1180492.5224573077,,,3053.6178268118024,3053.6178268118024,86648.08194452958,86648.08194452958
80,80.0,15689886.528487211,15689886.528487211,33935.04619125335,33935.04619125335,83684.97454239268,83684.97454239268,1276622.1196935985,1276622.1196935985,1192493.4507791393,1192493.4507791393,,,3032.8536139579023,3032.8536139579023,88011.04414577215,88011.04414577215
81,81.0,15678899.124683183,15678899.124683183,33657.096152635015,33657.096152635015,83041.30045056016,83041.30045056016,1287887.4767509133,1287887.4767509133,1204402.4787136188,1204402.4787136188,,,3012.0064517947876,3012.0064517947876,89365.30018499662,89365.30018499662
82,82.0,15668004.206451133,15668004.206451133,33379.28832126678,33379.28832126678,82396.99850032543,82396.99850032543,1299060.2074965637,1299060.2074965637,1216219.506727272,1216219.506727272,,,2991.081590754262,2991.081590754262,90710.80089798095,90710.80089798095
83,83.0,15657201.665277842,15657201.665277842,33101.67505523054,33101.67505523054,81752.204795484,81752.204795484,1310140.3680593132,1310140.3680593132,1227944.4548714396,1227944.4548714396,,,2970.084233395777,2970.084233395777,92047.49950793534,92047.49950793534
84,84.0,15646491.376308963,15646491.376308963,32824.30775967601,32824.30775967601,81107.05343343929,81107.05343343929,1321128.0318617977,1321128.0318617977,1239577.262497919,1239577.262497919,,,2949.019532478281,2949.019532478281,93375.35160978886,93375.35160978886
85,85.0,15635873.19867421,15635873.19867421,32547.236880367032,32547.236880367032,80461.67647525197,80461.67647525197,1332023.2893018047,1332023.2893018047,1251117.8879701686,1251117.8879701686,,,2927.892589107534,2927.892589107534,94694.31515344273,94694.31515344273
86,86.0,15625346.97581375,15625346.97581375,32270.511898053166,32270.511898053166,79816.20391780324,79816.20391780324,1342826.2474315413,1342826.2474315413,1262566.3083703914,1262566.3083703914,,,2906.7084509589645,2906.7084509589645,96004.35042602327,96004.35042602327
87,87.0,15614912.535805518,15614912.535805518,31994.181323649478,31994.181323649478,79170.76366804475,79170.76366804475,1353537.0296351584,1353537.0296351584,1273922.5192027865,1273922.5192027865,,,2885.472110576052,2885.472110576052,97305.42003316747,97305.42003316747
88,88.0,15604569.691693217,15604569.691693217,31718.29269420695,31718.29269420695,78525.48151930496,78525.48151930496,1364155.775304801,1364155.775304801,1285186.534093271,1285186.534093271,,,2864.1885037441098,2864.1885037441098,98597.48887937414,98597.48887937414
89,89.0,15594318.24181476,15594318.24181476,31442.89256965507,31442.89256965507,77880.48112962168,77880.48112962168,1374682.6395154446,1374682.6395154446,1296358.3844859637,1296358.3844859637,,,2842.862507939273,2842.862507939273,99880.52414745453,99880.52414745453
